results/11_C1vsC3_all_genes.csv
"gene","logFC","t"
"ZNF610",0.246952000068122,5.90969908056616
"DGCR2",0.0714925415233019,5.57211615763848
"GLTSCR1",0.101692183181353,5.37250771925206
"C22orf29",0.111489159152986,5.26619305452835
"CYTH2",0.0869793647213921,5.24415324606621
"SERTAD4",0.30056975256061,5.10384936683533
"WRB",0.135170254509357,5.07892039725468
"TSPAN6",0.135470481000036,5.0375393219572
"RNF128",0.548376882107379,5.01523347241758
"ZNF415",0.181001688273029,5.01046753879051
"C1orf133",0.505545994712697,4.97026826177677
"DTX3",0.144316872534545,4.94963219057401
"SSBP3",0.112502995953324,4.93369961417927
"ARMCX1",0.204225771928111,4.93251228806646
"SHF",0.270268359357483,4.89604792167115
"LPPR2",0.160978483630132,4.88622882204158
"SMTN",0.13692708024037,4.88173860892547
"SEPT5",0.188651681914924,4.88023612883107
"PHLPP1",0.171227061622612,4.8721716785915
"FAM69B",0.243515206800118,4.79337925999277
"OLFM2",0.234227935426333,4.79217362727622
"NEO1",0.153191714309957,4.69172820532438
"ADAMTS19",1.96948870183699,4.67438193427702
"TMEM132E",1.03478235997041,4.66939344302729
"ZNF615",0.127973709270672,4.60074025837532
"PCDHB4",0.369036057000838,4.58412601876352
"RNF152",0.297523330547994,4.57867874915957
"ZNF649",0.165052397158886,4.57679700346364
"APBA1",0.297553296459777,4.52561515400909
"MUM1L1",1.21643542544901,4.52061071983461
"NGFRAP1",0.132903113099633,4.51563899045437
"PCBP4",0.116910036249296,4.5150049433015
"ZNF285",0.268617779518554,4.50539385039221
"BAT1",0.0449056746489509,4.50007621982024
"FAM103A1",0.118971549989597,4.4902361353317
"VPS37D",0.470123255848331,4.48380961770643
"CASKIN1",0.879512956913204,4.47615324789985
"TLE2",0.291515371901029,4.46427046971402
"C3orf39",0.0999930005644512,4.45341953494185
"AGPHD1",0.209355687757665,4.44971195764307
"GEFT",0.136452588830867,4.44444137533004
"CEP68",0.0751753189701354,4.43475755552481
"ZNF577",0.173829341870687,4.39661327004317
"TUG1",0.0593844164449573,4.38551039324323
"EDC3",0.074416083482939,4.37390740778926
"PPP2R1A",0.0634895752822509,4.36883181700357
"HOXC9",0.22102229655599,4.36211593845723
"MNX1",1.41352029500167,4.35376421402659
"PTOV1",0.0950649863494677,4.34078178681722
"ZNF561",0.0813109844449071,4.32389089818059
"C17orf102",1.71401863842064,4.32084684870804
"ZSCAN18",0.120513760744737,4.29270787877136
"RBM4B",0.0799992136060146,4.27786485634642
"ZNF491",0.286416743878358,4.26796257714037
"RRAGB",0.111762432363101,4.26424943812303
"CSNK1E",0.0768372537950937,4.25066238382984
"ZNF20",0.115625976110538,4.24855124230961
"KIAA1543",0.128673781219118,4.24546053038111
"DSTN",0.0659613229124192,4.23664018866095
"ZNF528",0.207593960568115,4.23492781263803
"CASKIN2",0.0801816624453702,4.23309707440299
"ZNF568",0.138190433498689,4.22652050626121
"HKR1",0.0869111705853918,4.21487910496518
"C1orf226",0.213832853131062,4.21361081380168
"LOC100130776",0.178611127070721,4.21196857796035
"SGEF",0.197422367252195,4.19871982578282
"ZNF471",0.222586885634001,4.19799380786758
"ZHX3",0.102012419593605,4.19434053564326
"PARD6G",0.163963875528527,4.19365817087201
"FAM172A",0.100729763979601,4.18984508826964
"PGBD1",0.236466826039441,4.18938500621521
"AQP11",0.313379294429875,4.17641446991406
"PCDHB12",0.348239828126068,4.15744719429565
"NRF1",0.0465513586221507,4.15017233989665
"ZNRF3",0.101380414863286,4.13670116411006
"B3GALNT1",0.106270484877155,4.11962260215989
"BEX4",0.138807438272761,4.11109113650646
"ALS2CR4",0.105022644825335,4.1084990496662
"MAGED4",0.389074910896509,4.10361047954077
"PNMAL1",0.340196945699506,4.09921690384093
"TMEM59L",0.671881760992479,4.0990011812964
"TFAP2A",0.110438424186507,4.09158205578445
"SYNGR1",0.170912515489197,4.09122559888067
"NKAIN2",1.00499708509441,4.08248973696219
"CDIPT",0.0729636333612751,4.05683027768177
"ZNF358",0.105837053079742,4.05635479675652
"WHSC2",0.0785547600259768,4.03712770167237
"ZNF177",0.251476258905329,4.02599244052413
"LRP4",0.33419429960782,4.02401459590517
"NGEF",0.372297864594168,4.01482757236025
"ZC3H4",0.0485817401189692,4.00306905868861
"CADM4",0.16632773144932,4.00144374976267
"GJC1",0.180714149321225,3.99692882518955
"RIMS4",0.685539659616962,3.99442631939667
"ZNF219",0.201436199147495,3.99264291133636
"DDAH2",0.103763950903216,3.99166341347326
"ENTPD2",0.26535985102182,3.98845265847202
"SBK1",0.179307041570919,3.98613264010878
"SEMA6C",0.230536638316229,3.978641028829
"ZNF599",0.126723490522239,3.97667760260657
"DGCR14",0.0834369166138806,3.97326769074312
"KCTD15",0.156469952347488,3.97015132431396
"POLR2J3",0.142310044098743,3.96923507922353
"ST13",0.0533148246324409,3.96616839713759
"GDF1",1.68544722336316,3.96573626558412
"SOX4",0.096055685458718,3.9627035753121
"PTK7",0.0882602887273372,3.95601527334163
"EFNB3",0.392639892918364,3.94826793674817
"SLC39A10",0.102320178784769,3.94664842281706
"AMN1",0.146613100580971,3.93492128851831
"SCAP",0.0605356097961316,3.92677802749088
"GPRASP2",0.187440138021458,3.91826317292781
"ARVCF",0.14976850492374,3.91815823627232
"C20orf108",0.0881568765859821,3.91351036414936
"DEXI",0.10294829938445,3.9083851683979
"FZD1",0.117300581141087,3.90753635153898
"FAM8A1",0.0857423660461309,3.906159245818
"SYN3",1.0737716195848,3.90346056970076
"NDUFC2",0.103753683481859,3.89576040147622
"HSPBP1",0.0965150857181269,3.89537157368073
"PATZ1",0.103665695571998,3.88965697585232
"IER3IP1",0.0831852605012626,3.87668059882458
"MIF",0.118133235645561,3.87451356668844
"ZNF187",0.0910889669491288,3.87290165865148
"DIRAS1",0.325515646755819,3.87276202820967
"SCAMP1",0.0708484001966783,3.86300621615466
"IRX1",0.644136934486869,3.86080364600627
"ACVR2A",0.114874902859034,3.85576306154108
"CUTA",0.064895805404011,3.85370956599146
"CHADL",0.446138443972551,3.85009483691333
"RBM9",0.0645976188738535,3.84940675241955
"C7orf41",0.160094631181289,3.84752029245309
"DKKL1",0.583546385328948,3.84727013255101
"GPR125",0.119334112308202,3.83700811967916
"C3orf33",0.139690432681599,3.83433798527666
"POLR2J4",0.0899354268173003,3.82857040727204
"PRR24",0.125737032998852,3.82690624326661
"CCDC120",0.0937806413531375,3.82519342857082
"IP6K2",0.0659374297566577,3.82450994987274
"ZNF212",0.080529899070191,3.82114479898425
"SLC22A17",0.169293560935115,3.81966315291095
"HLF",0.324198212224729,3.81500919436715
"TEAD3",0.0650549473822171,3.81424189170402
"EPS15L1",0.0603882769116497,3.80742231450536
"ZFYVE21",0.0891002911753258,3.80548986869355
"COL2A1",1.32049304967864,3.80376952689509
"ABCG4",0.715046972916245,3.80155462159968
"FOXO3B",0.0722453340389517,3.79440776903596
"RCN2",0.0831053432502555,3.79177904056251
"C1QL1",0.868015689420676,3.78909791359765
"FAM117B",0.130778606702617,3.78839758993616
"BBS10",0.0823782373807953,3.78600270438985
"IGF1R",0.213199498382559,3.78337287661338
"GLRX5",0.079915946206615,3.78329616079809
"DRD2",0.983385899550743,3.78302987672838
"SSBP2",0.113538942088145,3.78279866130727
"ZNF135",0.1669545684435,3.77550693815068
"KDM5B",0.0746132656884715,3.76246777603621
"CAPN5",0.136451887803284,3.76126421318199
"LRRC8E",0.154250701022336,3.75863786985376
"ZNF614",0.0912886228999108,3.74826363924379
"MMP16",0.456415685433974,3.74731745916689
"CACHD1",0.174199638452109,3.74670710726784
"ENTPD3",0.355369995042596,3.74532543682906
"PPP1R13B",0.0884308962359812,3.74507045338434
"DNMBP",0.149220916299349,3.74143239301283
"ZNF223",0.159332516788945,3.74100291742481
"PL-5283",0.0817189846355548,3.74099643709052
"KCTD10",0.0570186516421689,3.73610590382568
"KLHL7",0.0964058008805484,3.72868811531919
"RCOR3",0.0760433347839591,3.72499930711512
"C6orf134",0.0941364188764755,3.72368927300267
"KDELR1",0.0601169240819539,3.71589721223941
"FAM171A2",0.330407183490649,3.71440644155799
"SRCIN1",0.301532797145425,3.71386328030966
"NAB2",0.109704249235403,3.70859393066869
"CPB1",1.56802144506432,3.70751885092893
"HHAT",0.16144876354489,3.70699596123873
"C19orf44",0.101029963328863,3.70119129935594
"ZNF667",0.284215722901528,3.70117461416564
"ATP6V1E1",0.0504189719376678,3.6988565413603
"USP30",0.0926565008042255,3.69709204625265
"MORN2",0.112845437611377,3.69554735710254
"EIF3L",0.0649467792013327,3.6941858755652
"ZNF74",0.104328470060794,3.6936827882414
"CSRP1",0.0958501829996967,3.69295073752687
"PLCD3",0.151677439835919,3.69091815487297
"MBNL2",0.0875269926491056,3.68958587573554
"DSTYK",0.0722111755194161,3.6879368249281
"RNF208",0.263099753115368,3.68765342543327
"ARMCX5",0.11792158349987,3.6839157465638
"ZNF697",0.139759931193067,3.68344977683408
"SUDS3",0.0616868187862512,3.68334993212616
"FURIN",0.0946038203319191,3.68286516847873
"TRIM45",0.162165392453164,3.68273442116904
"KIF7",0.205653033767113,3.68045336134216
"CRAMP1L",0.0654692450536816,3.67895718189802
"ZNF432",0.101337118665253,3.67798266097603
"GARNL3",0.243150035802814,3.67480583121544
"KLHDC8B",0.0910914617654583,3.66514967881695
"EIF4ENIF1",0.0568259008560519,3.66512508652319
"SORT1",0.0936439502080395,3.66156295534208
"SLITRK6",0.750737449643428,3.65871765671771
"FIZ1",0.0826648276894568,3.6555664640886
"TOMM20",0.0674120891120715,3.65213170887479
"SH3RF1",0.126631002400735,3.64710244811996
"C12orf73",0.120112612453581,3.64481153646165
