results/11_C1vsC3_pathways.csv
"pathway","median_C1","median_C3","p","dir","label"
"Kynurenine",1.07050716753358,-0.57743203465777,7.66501005960928e-16,"C1-high","Kynurenine
p=p = 7.67e-16"
"Glycolysis",0.462173349025921,-0.37164293646201,0.000516633475142542,"C1-high","Glycolysis
p=p = 0.000517"
"Glutamine",0.0340036246431618,0.060315713019044,0.9004126661811,"C3-high","Glutamine
p=p = 0.9"
"Adenosine",0.179908321880756,-0.267264260688651,0.0102492463716487,"C1-high","Adenosine
p=p = 0.0102"
"Tryptophan_metabolism",-1.42765222038337,0.518915908092899,3.41519254760288e-15,"C3-high","Tryptophan_metabolism
p=p = 3.42e-15"
"Hypoxia",0.348425362196049,-0.0905723061185977,0.287524102935293,"C1-high","Hypoxia
p=p = 0.288"
"EMT",-0.118676702412635,0.262759972706124,0.180823951175459,"C3-high","EMT
p=p = 0.181"
"Stemness",-0.436674104081995,-0.0482830289856465,0.482300449802907,"C3-high","Stemness
p=p = 0.482"
"T_cell",-1.37866972459758,0.783695342247274,6.35662577611212e-21,"C3-high","T_cell
p=p < 2.2e-16"
"NK_cell",-1.31291496481514,0.820301026232227,2.54265031044485e-20,"C3-high","NK_cell
p=p < 2.2e-16"
"Treg",-1.29086035373676,0.74863673031315,6.35662577611212e-21,"C3-high","Treg
p=p < 2.2e-16"
"Macrophage",-1.22818534181068,0.832144136111992,3.66332343477342e-17,"C3-high","Macrophage
p=p < 2.2e-16"
"Cytotoxicity",-1.42660291092372,0.847057808500066,6.35662577611212e-21,"C3-high","Cytotoxicity
p=p < 2.2e-16"
"Exhaustion",-1.20062828868908,0.854367336536058,6.35662577611212e-21,"C3-high","Exhaustion
p=p < 2.2e-16"
"Checkpoint",-1.55345031114359,0.851191079274825,6.35662577611212e-21,"C3-high","Checkpoint
p=p < 2.2e-16"
"IFNG_response",-1.10611871335666,0.893151695054916,5.81631258514259e-18,"C3-high","IFNG_response
p=p < 2.2e-16"
