"feature","rho","p","sig","label"
"Glycolysis",0.397382982290955,6.40817444567548e-06,TRUE,"rho=0.40
p = 6.41e-06"
"Glutamine",0.0249255136655015,0.784068881141784,FALSE,"rho=0.02
p = 0.784"
"Adenosine",0.137422450374689,0.129472366480015,FALSE,"rho=0.14
p = 0.129"
"Tryptophan_metabolism",-0.689356515458333,0,TRUE,"rho=-0.69
p < 2.2e-16"
"Hypoxia",-0.0228037817131212,0.80205591199148,FALSE,"rho=-0.02
p = 0.802"
"EMT",-0.0942526215320324,0.29931908244883,FALSE,"rho=-0.09
p = 0.299"
"Stemness",0.0491287356025332,0.588978009119374,FALSE,"rho=0.05
p = 0.589"
"T_cell",-0.622918574505682,0,TRUE,"rho=-0.62
p < 2.2e-16"
"NK_cell",-0.607247423611201,0,TRUE,"rho=-0.61
p < 2.2e-16"
"Treg",-0.681114650913828,0,TRUE,"rho=-0.68
p < 2.2e-16"
"Macrophage",-0.632056854677484,0,TRUE,"rho=-0.63
p < 2.2e-16"
"Cytotoxicity",-0.686293224645626,0,TRUE,"rho=-0.69
p < 2.2e-16"
"Exhaustion",-0.627516735241387,0,TRUE,"rho=-0.63
p < 2.2e-16"
"Checkpoint",-0.695051011853323,0,TRUE,"rho=-0.70
p < 2.2e-16"
"IFNG_response",-0.714894687286376,0,TRUE,"rho=-0.71
p < 2.2e-16"
