"celltype_major","gene","avg","pct","n"
"B-cells","AADAT",0.000627682663522068,0.0311915159076731,3206
"B-cells","AFMID",0.0311780549133424,2.0898315658141,3206
"B-cells","CCBL2",0.0445766274102247,3.30630068621335,3206
"B-cells","GPT2",0.0128634103089971,0.748596381784155,3206
"B-cells","HAAO",0.0143228411015381,1.06051154086089,3206
"B-cells","IDO1",0.0073130482166886,0.49906425452277,3206
"B-cells","IDO2",0.000573617549524182,0.0623830318153462,3206
"B-cells","IL4I1",0.0298252270541947,1.90268247036806,3206
"B-cells","KMO",0.115126740508362,6.98689956331878,3206
"B-cells","KYNU",0.186342535092345,11.5720524017467,3206
"B-cells","NADSYN1",0.0811696947844289,5.52089831565814,3206
"B-cells","QPRT",0.00231466901742669,0.187149095446039,3206
"B-cells","TDO2",0.000792320977970722,0.0623830318153462,3206
"CAFs","AADAT",0.0229892731141228,2.76890308839191,6573
"CAFs","AFMID",0.0630821053566182,6.26806633196409,6573
"CAFs","CCBL2",0.106514728739619,11.5624524570211,6573
"CAFs","GPT2",0.0123689353862833,1.52137532329226,6573
"CAFs","HAAO",0.0848863648093029,8.82397687509508,6573
"CAFs","IDO1",0.054419005703867,3.63608702266849,6573
"CAFs","IDO2",2.59892170285159e-05,0.0152137532329226,6573
"CAFs","IL4I1",0.0320226041521483,3.48394949033927,6573
"CAFs","KMO",0.00240165266560295,0.289061311425529,6573
"CAFs","KYNU",0.00412282674315909,0.53248136315229,6573
"CAFs","NADSYN1",0.0638691011405805,7.31781530503575,6573
"CAFs","QPRT",0.0808757332513284,7.1504640194736,6573
"CAFs","TDO2",0.0756160607685525,4.39677468431462,6573
"Cancer Epithelial","AADAT",0.00908654487462257,1.89472824533464,24489
"Cancer Epithelial","AFMID",0.262412875920753,32.8106496794479,24489
"Cancer Epithelial","CCBL2",0.11582484413699,19.1677896198293,24489
"Cancer Epithelial","GPT2",0.096308782924786,15.3252480705623,24489
"Cancer Epithelial","HAAO",0.0215301359181388,3.07484993262281,24489
"Cancer Epithelial","IDO1",0.0147491293685473,1.73547306954143,24489
"Cancer Epithelial","IDO2",4.24517610839529e-05,0.0122503981379395,24489
"Cancer Epithelial","IL4I1",0.00899895880156352,1.60480215607007,24489
"Cancer Epithelial","KMO",0.090515495157161,10.6047613214096,24489
"Cancer Epithelial","KYNU",0.189934894930171,18.1591735064723,24489
"Cancer Epithelial","NADSYN1",0.137047101095569,22.1813875617624,24489
"Cancer Epithelial","QPRT",0.11868286005843,16.5176201559884,24489
"Cancer Epithelial","TDO2",0.0850831939879248,7.15014904651068,24489
"Endothelial","AADAT",0.00215435844984819,0.302432610124918,7605
"Endothelial","AFMID",0.0982386644829326,10.4404996712689,7605
"Endothelial","CCBL2",0.0648346552547345,8.12623274161736,7605
"Endothelial","GPT2",0.012648271642313,1.53846153846154,7605
"Endothelial","HAAO",0.00681187007362606,1.2491781722551,7605
"Endothelial","IDO1",0.0389356143554058,3.07692307692308,7605
"Endothelial","IDO2",3.57542926888137e-05,0.0131492439184747,7605
"Endothelial","IL4I1",0.0227291217461745,2.60355029585799,7605
"Endothelial","KMO",0.00208362733690324,0.170940170940171,7605
"Endothelial","KYNU",0.0760602613994166,7.54766600920447,7605
"Endothelial","NADSYN1",0.117772401194239,13.2544378698225,7605
"Endothelial","QPRT",0.0050495176437418,0.854700854700855,7605
"Endothelial","TDO2",0.00549292031138119,0.788954635108481,7605
"Myeloid","AADAT",0.000594335885223497,0.082687338501292,9675
"Myeloid","AFMID",0.0855310112306325,10.5322997416021,9675
"Myeloid","CCBL2",0.0659172815709968,9.22997416020672,9675
"Myeloid","GPT2",0.00919576049781388,1.37467700258398,9675
"Myeloid","HAAO",0.0533425496898916,7.87596899224806,9675
"Myeloid","IDO1",0.125025800152437,8.86821705426357,9675
"Myeloid","IDO2",0.00693172303485591,1.02325581395349,9675
"Myeloid","IL4I1",0.421178069026473,31.0387596899225,9675
"Myeloid","KMO",0.139973554020586,16.1963824289406,9675
"Myeloid","KYNU",0.348031034866447,34.1291989664083,9675
"Myeloid","NADSYN1",0.133270740681451,17.2196382428941,9675
"Myeloid","QPRT",0.0270557259825593,3.94832041343669,9675
"Myeloid","TDO2",0.00355807477263897,0.403100775193798,9675
"Normal Epithelial","AADAT",0.00451011374177486,0.918484500574053,4355
"Normal Epithelial","AFMID",0.20636635799223,25.4420206659013,4355
"Normal Epithelial","CCBL2",0.125656149667596,17.5430539609644,4355
"Normal Epithelial","GPT2",0.0433347247818485,6.52123995407577,4355
"Normal Epithelial","HAAO",0.037923063679653,4.79908151549943,4355
"Normal Epithelial","IDO1",0.00478200683950029,0.551090700344432,4355
"Normal Epithelial","IDO2",0.000141598588122658,0.0229621125143513,4355
"Normal Epithelial","IL4I1",0.00402481189356255,0.665901262916188,4355
"Normal Epithelial","KMO",0.0178915009863374,2.50287026406429,4355
"Normal Epithelial","KYNU",0.0645673591468324,8.42709529276693,4355
"Normal Epithelial","NADSYN1",0.115759350434939,17.1756601607348,4355
"Normal Epithelial","QPRT",0.00818518248462338,1.42365097588978,4355
"Normal Epithelial","TDO2",0.0014584135454151,0.183696900114811,4355
"PVL","AADAT",0.0106546341670437,1.38299834040199,5423
"PVL","AFMID",0.0891437674170458,8.85118937857275,5423
"PVL","CCBL2",0.0924782375750662,9.62566844919786,5423
"PVL","GPT2",0.00407759649572834,0.571639314032823,5423
"PVL","HAAO",0.130306208990869,12.5391849529781,5423
"PVL","IDO1",0.0137581256479777,1.06951871657754,5423
"PVL","IDO2",0,0,5423
"PVL","IL4I1",0.00888543587735148,0.737599114881062,5423
"PVL","KMO",0.00136282580441765,0.147519822976212,5423
"PVL","KYNU",0.00950194376251668,1.03263876083349,5423
"PVL","NADSYN1",0.0659139242131939,6.76747187903375,5423
"PVL","QPRT",0.0362199767101448,4.33339479992624,5423
"PVL","TDO2",0.14908500760856,10.2157477411027,5423
"Plasmablasts","AADAT",0.000540099043637368,0.0567536889897843,3524
"Plasmablasts","AFMID",0.027050448090874,3.00794551645857,3524
"Plasmablasts","CCBL2",0.0262486797463033,3.43359818388195,3524
"Plasmablasts","GPT2",0.021013873951384,2.894438138479,3524
"Plasmablasts","HAAO",0.00443472205157086,0.567536889897843,3524
"Plasmablasts","IDO1",0.00246736548930895,0.283768444948922,3524
"Plasmablasts","IDO2",0,0,3524
"Plasmablasts","IL4I1",0.0142484663670818,1.19182746878547,3524
"Plasmablasts","KMO",0.0133945624983726,1.73098751418842,3524
"Plasmablasts","KYNU",0.00777179136804686,0.709421112372304,3524
"Plasmablasts","NADSYN1",0.0392937968426435,5.19296254256527,3524
"Plasmablasts","QPRT",0.0447069718190713,5.98751418842225,3524
"Plasmablasts","TDO2",0.00856889196940423,0.681044267877412,3524
"T-cells","AADAT",0.000339799120787918,0.0255580166979042,35214
"T-cells","AFMID",0.0100914292964283,0.741182484239223,35214
"T-cells","CCBL2",0.0645689628959375,4.50389049809735,35214
"T-cells","GPT2",0.00245023465170562,0.190265235417732,35214
"T-cells","HAAO",0.000910514215322512,0.0709944908275118,35214
"T-cells","IDO1",0.00173380697197807,0.124950303856421,35214
"T-cells","IDO2",0.000133858272169704,0.0113591185324019,35214
"T-cells","IL4I1",0.0218205203754494,1.45964673141364,35214
"T-cells","KMO",0.00149608934762362,0.113591185324019,35214
"T-cells","KYNU",0.00406264641131075,0.266939285511444,35214
"T-cells","NADSYN1",0.0947025387289425,6.31850968364855,35214
"T-cells","QPRT",0.00490500677620687,0.36065201340376,35214
"T-cells","TDO2",0.00145257426326522,0.0823536093599137,35214
