"celltype_minor","gene","avg"
"Cycling T-cells","AADAT",0.000914562098946979
"Cycling T-cells","AFMID",0.0284251890927449
"Cycling T-cells","CCBL2",0.128779875139945
"Cycling T-cells","GPT2",0.011157105825697
"Cycling T-cells","HAAO",0.00292963113493747
"Cycling T-cells","IDO1",0.00506638709229518
"Cycling T-cells","IDO2",0.000881663489379751
"Cycling T-cells","IL4I1",0.0270059051560638
"Cycling T-cells","KMO",0.00463006696609944
"Cycling T-cells","KYNU",0.00687584033077962
"Cycling T-cells","NADSYN1",0.154794551845015
"Cycling T-cells","QPRT",0.0180237620662256
"Cycling T-cells","TDO2",0.003973813731095
"Cycling_Myeloid","AADAT",0
"Cycling_Myeloid","AFMID",0.080442515105675
"Cycling_Myeloid","CCBL2",0.0818248487769503
"Cycling_Myeloid","GPT2",0.0207849318956775
"Cycling_Myeloid","HAAO",0.0849741415754116
"Cycling_Myeloid","IDO1",0.102969001700851
"Cycling_Myeloid","IDO2",0.00233536756034271
"Cycling_Myeloid","IL4I1",0.249573411176822
"Cycling_Myeloid","KMO",0.0978029342407375
"Cycling_Myeloid","KYNU",0.297948455361611
"Cycling_Myeloid","NADSYN1",0.128960818387471
"Cycling_Myeloid","QPRT",0.0159972660150133
"Cycling_Myeloid","TDO2",0.00559396645620962
"DCs","AADAT",0.000268661711442043
"DCs","AFMID",0.075935632419879
"DCs","CCBL2",0.0862145118192185
"DCs","GPT2",0.0203054640971675
"DCs","HAAO",0.0339557917195309
"DCs","IDO1",0.497197310805118
"DCs","IDO2",0.0363632633473197
"DCs","IL4I1",0.233570390333397
"DCs","KMO",0.0922069074343919
"DCs","KYNU",0.326660452926642
"DCs","NADSYN1",0.14988074005177
"DCs","QPRT",0.0280183236658463
"DCs","TDO2",0.000696177490329296
"Macrophage","AADAT",0.000703426518612995
"Macrophage","AFMID",0.078395609431763
"Macrophage","CCBL2",0.0644331305156668
"Macrophage","GPT2",0.00724225415243464
"Macrophage","HAAO",0.0564896224118381
"Macrophage","IDO1",0.0726143116822621
"Macrophage","IDO2",0.00273621651263152
"Macrophage","IL4I1",0.518644985979028
"Macrophage","KMO",0.14940681066405
"Macrophage","KYNU",0.326882166693127
"Macrophage","NADSYN1",0.12897981662208
"Macrophage","QPRT",0.0329855585479847
"Macrophage","TDO2",0.00458140865257825
"Monocyte","AADAT",0.000568304092033394
"Monocyte","AFMID",0.108651869364491
"Monocyte","CCBL2",0.0582070036945548
"Monocyte","GPT2",0.00730864100776233
"Monocyte","HAAO",0.0469894279760934
"Monocyte","IDO1",0.11022177100701
"Monocyte","IDO2",0.00645756055915364
"Monocyte","IL4I1",0.284037578959711
"Monocyte","KMO",0.143930755828485
"Monocyte","KYNU",0.420620716766305
"Monocyte","NADSYN1",0.138242318590158
"Monocyte","QPRT",0.0137579634812822
"Monocyte","TDO2",0.00172093881084881
"NK cells","AADAT",0
"NK cells","AFMID",0.0110284107562237
"NK cells","CCBL2",0.0514278317999725
"NK cells","GPT2",0.00124478465829135
"NK cells","HAAO",0
"NK cells","IDO1",0.00088276179394508
"NK cells","IDO2",0
"NK cells","IL4I1",0.0450468567764551
"NK cells","KMO",0
"NK cells","KYNU",0.00605767533578805
"NK cells","NADSYN1",0.0942584577762341
"NK cells","QPRT",0.00757106579988292
"NK cells","TDO2",0
"NKT cells","AADAT",0
"NKT cells","AFMID",0.0120586254627674
"NKT cells","CCBL2",0.0574755990983939
"NKT cells","GPT2",0.00284655306427587
"NKT cells","HAAO",0
"NKT cells","IDO1",0.00341069755459465
"NKT cells","IDO2",0
"NKT cells","IL4I1",0.00185146557227194
"NKT cells","KMO",0
"NKT cells","KYNU",0.00869901920025471
"NKT cells","NADSYN1",0.0730296382318682
"NKT cells","QPRT",0.0128786594301079
"NKT cells","TDO2",0
"T cells CD4+","AADAT",0.000471115507905872
"T cells CD4+","AFMID",0.00913156914137264
"T cells CD4+","CCBL2",0.0648115340622435
"T cells CD4+","GPT2",0.00240676847085455
"T cells CD4+","HAAO",0.00100615789874804
"T cells CD4+","IDO1",0.0010694356307857
"T cells CD4+","IDO2",8.14667512899038e-05
"T cells CD4+","IL4I1",0.0273179003256068
"T cells CD4+","KMO",0.00109136442940404
"T cells CD4+","KYNU",0.00371336740888894
"T cells CD4+","NADSYN1",0.0861035363308967
"T cells CD4+","QPRT",0.00318652109558342
"T cells CD4+","TDO2",0.0015579861111098
"T cells CD8+","AADAT",0.000131297381361273
"T cells CD8+","AFMID",0.00891690364131278
"T cells CD8+","CCBL2",0.0584262034440286
"T cells CD8+","GPT2",0.00151982552826409
"T cells CD8+","HAAO",0.000717067002120571
"T cells CD8+","IDO1",0.0023757414199261
"T cells CD8+","IDO2",0.000156682884160838
"T cells CD8+","IL4I1",0.0101452422982015
"T cells CD8+","KMO",0.00214333756604414
"T cells CD8+","KYNU",0.00349971357617932
"T cells CD8+","NADSYN1",0.103293431640223
"T cells CD8+","QPRT",0.00482968308904209
"T cells CD8+","TDO2",0.00131603828873993
