"","mean1","mean3","log2FC","p","q"
"IDO1",5.26432611478209,6.32325872874962,-1.05893261396753,8.31793015755325e-13,1.08133092048192e-11
"IDO2",1.44140100397005,4.28786527124972,-2.84646426727967,1.09616971989312e-10,7.1251031793053e-10
"TDO2",5.23133878238039,5.74195150899826,-0.510612726617876,2.2823323631899e-05,5.8343982347633e-05
"AFMID",6.09717196220897,6.061775948788,0.0353960134209688,0.303600937740287,0.484821135589661
"KYNU",5.63099630964827,6.02318100946221,-0.392184699813943,8.90877892541281e-06,2.89535315075916e-05
"KMO",5.42890073734941,5.82276405808741,-0.393863320737991,2.69279918527537e-05,5.8343982347633e-05
"KYAT1",NA,NA,NA,NA,NA
"AADAT",5.68518383284,5.58528539499398,0.099898437846023,0.407550398303292,0.529815517794279
"CCBL2",6.10610589567875,6.1340390134115,-0.0279331177327569,0.335645401562073,0.484821135589661
"GPT2",6.31844919366348,6.31518615698459,0.00326303667889949,0.943641801723401,0.943641801723401
"HAAO",5.44053607570865,5.70327181112408,-0.262735735415431,0.000218461938590796,0.000405715028811478
"QPRT",5.77274285653024,5.83974544944719,-0.0670025929169489,0.499688526662286,0.590540986055429
"NADSYN1",6.17122958639114,6.18368442764443,-0.0124548412532857,0.610526350543616,0.661403546422251
"IL4I1",5.64814276947617,6.10934755494773,-0.461204785471562,1.34014386038913e-08,5.80729006168624e-08
