"sample","Classification","KP","Tcell","n"
"1142243F","Invasive cancer + stroma + lymphocytes",0.00627626289845713,0.00242006905184069,3627
"1142243F","Lymphocytes",0.0646620105155708,0.588860941844541,15
"1142243F","Necrosis",-0.0346166817515902,-0.11254291145103,568
"1142243F","Stroma",-0.0170679956417682,0.0790840466838998,445
"1142243F","TLS",0.0970255657512883,0.700754480465091,10
"1160920F","Adipose tissue",-0.0383919862188923,-0.0797203926877383,83
"1160920F","Cancer trapped in lymphocyte aggregation",0.0553192157866847,-0.0260879906005607,9
"1160920F","DCIS",0.0336080013134,-0.0871918275228264,12
"1160920F","Invasive cancer + stroma + lymphocytes",0.0238264331770264,-0.11186476779949,3146
"1160920F","Lymphocytes",0.00538994832760817,1.03242601909408,186
"1160920F","Normal glands + lymphocytes",-0.0528651617022224,0.0136169815092444,278
"1160920F","Stroma",-0.0520512186422903,0.133844314645096,1132
"CID4465","Invasive cancer + stroma + lymphocytes",0.00946080206681142,0.00414452707722907,1131
"CID4465","Normal duct",-0.178295662675325,0.0739929122800727,3
"CID4465","Stroma",-0.139313649626366,-0.0444132297187816,73
"CID44971","DCIS",0.0821098569120998,-0.11558578268063,273
"CID44971","Invasive cancer + lymphocytes",0.0456757834925695,0.212291355167434,317
"CID44971","Lymphocytes",0.0537207627537011,0.909438030282349,81
"CID44971","Normal + stroma + lymphocytes",-0.0978308087271353,-0.200329903191857,240
"CID44971","Stroma",-0.0300404719248312,-0.1526764838959,134
"CID44971","Stroma + adipose tissue",-0.116014086738738,-0.353947444559969,114
